Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Apr-19,EQ,"10,900.00","10,974.95","10,854.70","10,971.25","10,877.70","10,905.30","10,898.52","11,751.00","8,934.65",74238,"80,90,84,304.60",12859
26-Apr-19,EQ,"10,851.00","11,049.20","10,822.05","10,846.45","10,920.00","10,971.25","10,961.95","11,751.00","8,660.05",51412,"56,35,75,601.95",12551
25-Apr-19,EQ,"10,890.00","10,990.00","10,780.00","10,833.40","10,850.00","10,846.45","10,879.65","11,751.00","8,660.05",90249,"98,18,77,123.85",15092
24-Apr-19,EQ,"10,907.50","11,029.55","10,705.00","10,910.20","10,825.00","10,833.40","10,839.56","11,751.00","8,660.05",76358,"82,76,86,914.20",20752
23-Apr-19,EQ,"10,940.00","10,979.00","10,872.00","10,879.90","10,885.00","10,910.20","10,940.34","11,751.00","8,660.05",25119,"27,48,10,302.15",7359
22-Apr-19,EQ,"10,965.00","11,125.00","10,851.55","10,954.45","10,890.00","10,879.90","10,896.44","11,751.00","8,660.05",31883,"34,74,11,039.35",7195
18-Apr-19,EQ,"11,186.40","11,239.95","10,925.00","11,155.80","10,925.00","10,954.45","11,046.75","11,751.00","8,650.00",56399,"62,30,25,506.25",16672
16-Apr-19,EQ,"11,000.00","11,218.95","10,995.00","10,970.10","11,200.00","11,155.80","11,155.71","11,751.00","8,650.00",89355,"99,68,18,432.45",17335
15-Apr-19,EQ,"11,000.00","11,089.00","10,891.05","10,973.80","10,955.00","10,970.10","10,960.31","11,751.00","8,650.00",84735,"92,87,21,445.85",10223
12-Apr-19,EQ,"10,767.90","11,000.00","10,764.30","10,764.10","10,950.00","10,973.80","10,915.76","11,751.00","8,330.10",49737,"54,29,16,921.85",17361
11-Apr-19,EQ,"10,795.00","10,899.00","10,690.00","10,811.95","10,760.05","10,764.10","10,767.29","11,751.00","8,330.10",93902,"1,01,10,69,708.45",24251
